onset	duration	nwb_table	treelevel
9.125	0.09999999999999964	epochs	0.0
9.125	0.04499999999999993	epochs	1.0
9.17	0.009999999999999787	epochs	1.0
9.18	0.04499999999999993	epochs	1.0
9.225	0.7049950000000003	epochs	0.0
9.225	0.5	epochs	-1.0
9.225	0.5	epochs	-1.0
9.225	0.5	epochs	1.0
9.725	0.0600000000000005	epochs	-1.0
9.725	0.025000000000000355	epochs	-1.0
9.725	0.025000000000000355	epochs	1.0
9.75	0.009999999999999787	epochs	-1.0
9.75	0.009999999999999787	epochs	1.0
9.76	0.025000000000000355	epochs	-1.0
9.76	0.025000000000000355	epochs	1.0
9.785	0.0600000000000005	epochs	-1.0
9.785	0.025000000000000355	epochs	-1.0
9.785	0.025000000000000355	epochs	1.0
9.81	0.009999999999999787	epochs	-1.0
9.81	0.009999999999999787	epochs	1.0
9.82	0.025000000000000355	epochs	-1.0
9.82	0.025000000000000355	epochs	1.0
9.845	0.05999999999999872	epochs	-1.0
9.845	0.02499999999999858	epochs	-1.0
9.845	0.02499999999999858	epochs	1.0
9.87	0.010000000000001563	epochs	-1.0
9.87	0.010000000000001563	epochs	1.0
9.88	0.02499999999999858	epochs	-1.0
9.88	0.02499999999999858	epochs	1.0
9.905	0.024995000000000545	epochs	1.0
368.52099990844727	0.10000000000002274	epochs	0.0
368.52099990844727	0.045000000000015916	epochs	1.0
368.5659999084473	0.009999999999990905	epochs	1.0
368.5759999084473	0.045000000000015916	epochs	1.0
368.6209999084473	0.7049949999999967	epochs	0.0
368.6209999084473	0.5	epochs	-1.0
368.6209999084473	0.5	epochs	1.0
369.1209999084473	0.060000000000002274	epochs	-1.0
369.1209999084473	0.024999999999977263	epochs	-1.0
369.1209999084473	0.024999999999977263	epochs	1.0
369.14599990844727	0.009999999999990905	epochs	-1.0
369.14599990844727	0.009999999999990905	epochs	1.0
369.15599990844726	0.025000000000034106	epochs	-1.0
369.15599990844726	0.025000000000034106	epochs	1.0
369.1809999084473	0.060000000000002274	epochs	-1.0
369.1809999084473	0.024999999999977263	epochs	-1.0
369.1809999084473	0.024999999999977263	epochs	1.0
369.20599990844727	0.009999999999990905	epochs	-1.0
369.20599990844727	0.009999999999990905	epochs	1.0
369.21599990844726	0.025000000000034106	epochs	-1.0
369.21599990844726	0.025000000000034106	epochs	1.0
369.2409999084473	0.05999999999994543	epochs	-1.0
369.2409999084473	0.024999999999977263	epochs	-1.0
369.2409999084473	0.024999999999977263	epochs	1.0
369.26599990844727	0.009999999999990905	epochs	-1.0
369.26599990844727	0.009999999999990905	epochs	1.0
369.27599990844726	0.024999999999977263	epochs	-1.0
369.27599990844726	0.024999999999977263	epochs	1.0
369.30099990844724	0.02499500000004673	epochs	1.0
433.86299991607666	0.10000000000002274	epochs	0.0
433.86299991607666	0.045000000000015916	epochs	1.0
433.9079999160767	0.009999999999990905	epochs	1.0
433.91799991607667	0.045000000000015916	epochs	1.0
433.9629999160767	61.384995	epochs	0.0
433.9629999160767	0.5	epochs	-1.0
433.9629999160767	0.5	epochs	-1.0
433.9629999160767	0.5	epochs	1.0
434.4629999160767	0.060000000000002274	epochs	-1.0
434.4629999160767	0.024999999999977263	epochs	-1.0
434.4629999160767	0.024999999999977263	epochs	1.0
434.48799991607666	0.009999999999990905	epochs	-1.0
434.48799991607666	0.009999999999990905	epochs	1.0
434.49799991607665	0.025000000000034106	epochs	-1.0
434.49799991607665	0.025000000000034106	epochs	1.0
434.5229999160767	0.060000000000002274	epochs	-1.0
434.5229999160767	0.024999999999977263	epochs	-1.0
434.5229999160767	0.024999999999977263	epochs	1.0
434.54799991607666	0.009999999999990905	epochs	-1.0
434.54799991607666	0.009999999999990905	epochs	1.0
434.55799991607665	0.025000000000034106	epochs	-1.0
434.55799991607665	0.025000000000034106	epochs	1.0
434.5829999160767	0.05999999999994543	epochs	-1.0
434.5829999160767	0.024999999999977263	epochs	-1.0
434.5829999160767	0.024999999999977263	epochs	1.0
434.60799991607666	0.009999999999990905	epochs	-1.0
434.60799991607666	0.009999999999990905	epochs	1.0
434.61799991607666	0.024999999999977263	epochs	-1.0
434.61799991607666	0.024999999999977263	epochs	1.0
434.64299991607663	60.0	epochs	1.0
494.64299991607663	0.5	epochs	-1.0
494.64299991607663	0.5	epochs	-1.0
494.64299991607663	0.5	epochs	1.0
495.14299991607663	0.06000000000005912	epochs	-1.0
495.14299991607663	0.025000000000034106	epochs	-1.0
495.14299991607663	0.025000000000034106	epochs	1.0
495.16799991607667	0.009999999999990905	epochs	-1.0
495.16799991607667	0.009999999999990905	epochs	1.0
495.17799991607666	0.025000000000034106	epochs	-1.0
495.17799991607666	0.025000000000034106	epochs	1.0
495.2029999160767	0.05999999999994543	epochs	-1.0
495.2029999160767	0.024999999999977263	epochs	-1.0
495.2029999160767	0.024999999999977263	epochs	1.0
495.22799991607667	0.009999999999990905	epochs	-1.0
495.22799991607667	0.009999999999990905	epochs	1.0
495.23799991607666	0.024999999999977263	epochs	-1.0
495.23799991607666	0.024999999999977263	epochs	1.0
495.26299991607664	0.060000000000002274	epochs	-1.0
495.26299991607664	0.025000000000034106	epochs	-1.0
495.26299991607664	0.025000000000034106	epochs	1.0
495.28799991607667	0.009999999999990905	epochs	-1.0
495.28799991607667	0.009999999999990905	epochs	1.0
495.29799991607666	0.024999999999977263	epochs	-1.0
495.29799991607666	0.024999999999977263	epochs	1.0
495.32299991607664	0.02499500000004673	epochs	1.0
540.6710000038147	0.10000000000002274	epochs	0.0
540.6710000038147	0.04499999999995907	epochs	1.0
540.7160000038147	0.009999999999990905	epochs	1.0
540.7260000038146	0.04500000000007276	epochs	1.0
540.7710000038147	0.7049949999999399	epochs	0.0
540.7710000038147	0.5	epochs	-1.0
540.7710000038147	0.5	epochs	-1.0
540.7710000038147	0.5	epochs	1.0
541.2710000038147	0.05999999999994543	epochs	-1.0
541.2710000038147	0.024999999999977263	epochs	-1.0
541.2710000038147	0.024999999999977263	epochs	1.0
541.2960000038147	0.009999999999990905	epochs	-1.0
541.2960000038147	0.009999999999990905	epochs	1.0
541.3060000038147	0.024999999999977263	epochs	-1.0
541.3060000038147	0.024999999999977263	epochs	1.0
541.3310000038147	0.06000000000005912	epochs	-1.0
541.3310000038147	0.024999999999977263	epochs	-1.0
541.3310000038147	0.024999999999977263	epochs	1.0
541.3560000038146	0.010000000000104592	epochs	-1.0
541.3560000038146	0.010000000000104592	epochs	1.0
541.3660000038147	0.024999999999977263	epochs	-1.0
541.3660000038147	0.024999999999977263	epochs	1.0
541.3910000038147	0.05999999999994543	epochs	-1.0
541.3910000038147	0.024999999999977263	epochs	-1.0
541.3910000038147	0.024999999999977263	epochs	1.0
541.4160000038147	0.009999999999990905	epochs	-1.0
541.4160000038147	0.009999999999990905	epochs	1.0
541.4260000038147	0.024999999999977263	epochs	-1.0
541.4260000038147	0.024999999999977263	epochs	1.0
541.4510000038147	0.024994999999989886	epochs	1.0
604.4729995727539	0.0725599999999531	epochs	0.0
604.4729995727539	0.03128059999994548	epochs	1.0
604.5042801727539	0.009998800000062147	epochs	1.0
604.5142789727539	0.03128059999994548	epochs	1.0
